invoiceId,invoiceDate,month,platform,brand,campaignName,amount,paymentDate,paymentReference,chargeCode,chargeAmountOriginal,chargeAmountUsd,chargeAmountValidation,chargeTcAmount,legalEntity,comuna,project,pepCode,referenceId,referenceType,mappingBrand,splitCount,matched,sourceFile,cartolaReference,cartolaDate,cartolaDescription,cartolaCity
meta-socovesa-2026-03,2026-03-12,2026-03,Meta,Socovesa,FB_Sur_Inversionista,2398,2026-03-12,FLML5HV5E2,FLML5HV5E2,600000,685.53,Coincide,,Socovesa Sur S.A,Inversionista,PDL,I-SUR-2372,26167493542941837-26213506098340587,transactionId,Socovesa Sur,13,True,Facturas Meta/Socovesa/marzo_2026/2026-03-12T13-56 Transacción n.º 26167493542941837-26213506098340587.pdf,1303 74987506071000227733088,2026-03-12,FACEBK *FLML5HV5E2,fb.me/ads
meta-socovesa-2026-03,2026-03-12,2026-03,Meta,Socovesa,FB_Sur_Inversionista,2398,2026-03-12,FLML5HV5E2,FLML5HV5E2,600000,685.53,Coincide,,Socovesa Sur S.A,Inversionista,PDL,I-SUR-2372,26167493542941837-26213506098340587,transactionId,Socovesa Sur,13,True,Facturas Meta/Socovesa/marzo_2026/2026-03-12T13-56 Transacción n.º 26167493542941837-26213506098340587.pdf,1303 74987506071000227733088,2026-03-12,FACEBK *FLML5HV5E2,fb.me/ads
meta-socovesa-2026-03,2026-03-12,2026-03,Meta,Socovesa,FB_Sur_Inversionista,2398,2026-03-12,FLML5HV5E2,FLML5HV5E2,600000,685.53,Coincide,,Socovesa Sur S.A,Inversionista,PDL,I-SUR-2372,26167493542941837-26213506098340587,transactionId,Socovesa Sur,13,True,Facturas Meta/Socovesa/marzo_2026/2026-03-12T13-56 Transacción n.º 26167493542941837-26213506098340587.pdf,1303 74987506071000227733088,2026-03-12,FACEBK *FLML5HV5E2,fb.me/ads
meta-socovesa-2026-03,2026-03-12,2026-03,Meta,Socovesa,FB_Sur_Inversionista,2398,2026-03-12,FLML5HV5E2,FLML5HV5E2,600000,685.53,Coincide,,Socovesa Sur S.A,Inversionista,PDL,I-SUR-2372,26167493542941837-26213506098340587,transactionId,Socovesa Sur,13,True,Facturas Meta/Socovesa/marzo_2026/2026-03-12T13-56 Transacción n.º 26167493542941837-26213506098340587.pdf,1303 74987506071000227733088,2026-03-12,FACEBK *FLML5HV5E2,fb.me/ads
meta-socovesa-2026-03,2026-03-12,2026-03,Meta,Socovesa,FB_Sur_Inversionista,2398,2026-03-12,FLML5HV5E2,FLML5HV5E2,600000,685.53,Coincide,,Socovesa Sur S.A,Inversionista,PDL,I-SUR-2372,26167493542941837-26213506098340587,transactionId,Socovesa Sur,13,True,Facturas Meta/Socovesa/marzo_2026/2026-03-12T13-56 Transacción n.º 26167493542941837-26213506098340587.pdf,1303 74987506071000227733088,2026-03-12,FACEBK *FLML5HV5E2,fb.me/ads
meta-socovesa-2026-03,2026-03-12,2026-03,Meta,Socovesa,FB_Sur_Inversionista,2398,2026-03-12,FLML5HV5E2,FLML5HV5E2,600000,685.53,Coincide,,Socovesa Sur S.A,Inversionista,PDL,I-SUR-2372,26167493542941837-26213506098340587,transactionId,Socovesa Sur,13,True,Facturas Meta/Socovesa/marzo_2026/2026-03-12T13-56 Transacción n.º 26167493542941837-26213506098340587.pdf,1303 74987506071000227733088,2026-03-12,FACEBK *FLML5HV5E2,fb.me/ads
meta-socovesa-2026-03,2026-03-12,2026-03,Meta,Socovesa,FB_Sur_Inversionista,2398,2026-03-12,FLML5HV5E2,FLML5HV5E2,600000,685.53,Coincide,,Socovesa Sur S.A,Inversionista,PDL,I-SUR-2372,26167493542941837-26213506098340587,transactionId,Socovesa Sur,13,True,Facturas Meta/Socovesa/marzo_2026/2026-03-12T13-56 Transacción n.º 26167493542941837-26213506098340587.pdf,1303 74987506071000227733088,2026-03-12,FACEBK *FLML5HV5E2,fb.me/ads
meta-socovesa-2026-03,2026-03-12,2026-03,Meta,Socovesa,FB_Sur_Inversionista,2397,2026-03-12,FLML5HV5E2,FLML5HV5E2,600000,685.53,Coincide,,Socovesa Sur S.A,Inversionista,PDL,I-SUR-2372,26167493542941837-26213506098340587,transactionId,Socovesa Sur,13,True,Facturas Meta/Socovesa/marzo_2026/2026-03-12T13-56 Transacción n.º 26167493542941837-26213506098340587.pdf,1303 74987506071000227733088,2026-03-12,FACEBK *FLML5HV5E2,fb.me/ads
meta-socovesa-2026-03,2026-03-12,2026-03,Meta,Socovesa,FB_Sur_Inversionista,2397,2026-03-12,FLML5HV5E2,FLML5HV5E2,600000,685.53,Coincide,,Socovesa Sur S.A,Inversionista,PDL,I-SUR-2372,26167493542941837-26213506098340587,transactionId,Socovesa Sur,13,True,Facturas Meta/Socovesa/marzo_2026/2026-03-12T13-56 Transacción n.º 26167493542941837-26213506098340587.pdf,1303 74987506071000227733088,2026-03-12,FACEBK *FLML5HV5E2,fb.me/ads
meta-almagro-inmobiliaria-2026-03,2026-03-12,2026-03,Meta,Almagro Inmobiliaria,FB_AOL_Antofagasta_Indico,7512,2026-03-12,L8HESGV6E2,L8HESGV6E2,600000,685.53,Coincide,,Almagro S.A,Antofagasta,Indico,I-ALM-1453,25954882590863774-25890506970634676,transactionId,Almagro,1,True,Facturas Meta/Almagro/marzo_2026/2026-03-12T09-57 Transacción n.º 25954882590863774-25890506970634676.pdf,1303 74987506071000221330097,2026-03-12,FACEBK *L8HESGV6E2,fb.me/ads
