platform,brand,legalEntity,comuna,project,pepCode,amount
Meta,Socovesa,Socovesa Sur S.A,Temuco,Edificio Vértice,I-SUR-2297,85175
Meta,Socovesa,Socovesa Sur S.A,Punta Arenas,Reserva Magallanes,I-SUR-2323,84895
Meta,Socovesa,Socovesa Sur S.A,Temuco,O3,I-SUR-2373,84498
Meta,Socovesa,Socovesa Sur S.A,Chillán,Nueva Toledo,I-SUR-2334,84248
Meta,Socovesa,Socovesa Sur S.A,Los Ángeles,Parque Avellanos,I-SUR-2336,84001
Meta,Socovesa,Socovesa Sur S.A,Los Ángeles,Alto Maderos,I-SUR-2335,83993
Meta,Almagro Inmobiliaria,Almagro S.A,PPP,Almagro Plus,I-ALM-2234,69976
Meta,Almagro Inmobiliaria,Almagro S.A,PPP,Balance,I-ALM-2358,69976
Meta,Almagro Inmobiliaria,Almagro S.A,PPP,Carrera 4,I-ALM-2275,69976
Meta,Almagro Inmobiliaria,Almagro S.A,PPP,Indico,I-ALM-1453,69976
Meta,Almagro Inmobiliaria,Almagro S.A,PPP,Insigne,I-ALM-2157,69976
Meta,Almagro Inmobiliaria,Almagro S.A,PPP,Los Cactus,I-ALM-2342,69976
Meta,Almagro Inmobiliaria,Almagro S.A,PPP,Lyon Bilbao,I-ALM-2211,69976
Meta,Almagro Inmobiliaria,Almagro S.A,PPP,Parque Brasil,I-ALM-2285,69976
Meta,Almagro Inmobiliaria,Almagro S.A,PPP,San Eugenio 2,I-ALM-2227,69976
Meta,Almagro Inmobiliaria,Arcilla Roja,PPP,Almagro Hub,I-ALM-2189,69976
Meta,Almagro Inmobiliaria,Arcilla Roja,PPP,PLP 1,I-ALM-2226,69976
Meta,Almagro Inmobiliaria,Arcilla Roja,PPP,PLP 2,I-ALM-2306,69976
Meta,Almagro Inmobiliaria,Arcilla Roja,PPP,Rengo,I-ALM-2288,69976
Meta,Almagro Inmobiliaria,Madagascar,PPP,Almagro District,I-ALM-2399,69976
Google Ads,Almagro Inmobiliaria,Almagro S.A,PPP,Almagro Plus,I-ALM-2234,69515
Google Ads,Almagro Inmobiliaria,Almagro S.A,PPP,Balance,I-ALM-2358,69515
Google Ads,Almagro Inmobiliaria,Almagro S.A,PPP,Carrera 4,I-ALM-2275,69515
Google Ads,Almagro Inmobiliaria,Almagro S.A,PPP,Indico,I-ALM-1453,69515
Google Ads,Almagro Inmobiliaria,Almagro S.A,PPP,Insigne,I-ALM-2157,69515
Google Ads,Almagro Inmobiliaria,Almagro S.A,PPP,Los Cactus,I-ALM-2342,69515
Google Ads,Almagro Inmobiliaria,Almagro S.A,PPP,Lyon Bilbao,I-ALM-2211,69515
Google Ads,Almagro Inmobiliaria,Arcilla Roja,PPP,Almagro Hub,I-ALM-2189,69515
Google Ads,Almagro Inmobiliaria,Madagascar,PPP,Almagro District,I-ALM-2399,69515
Google Ads,Almagro Inmobiliaria,Almagro S.A,PPP,Parque Brasil,I-ALM-2285,69514
Google Ads,Almagro Inmobiliaria,Almagro S.A,PPP,San Eugenio 2,I-ALM-2227,69514
Google Ads,Almagro Inmobiliaria,Arcilla Roja,PPP,PLP 1,I-ALM-2226,69514
