month,platform,brand,legalEntity,comuna,project,pepCode,campaignName,amount,invoiceId,invoiceDate,paymentDate,paymentReference,referenceId,referenceType,chargeAmountValidation,matched,mappingBrand,cartolaMatchStatus
2026-06,Google Ads,Almagro Inmobiliaria,Almagro S.A,Lo Barnechea,Los Cactus,I-ALM-2342,Santiago | AO S | Por Comuna | Lo Barnechea | Los Cactus,732093,5620363570,2026-06-30,2026-06-30,,5620363570,invoiceNumber,Sin match,False,,Pendiente cartola TC junio completa
2026-06,Google Ads,Almagro Inmobiliaria,Almagro S.A,PPP,Los Cactus,I-ALM-2342,Santiago | AO S | Tudeptoestupie,71169,5620363570,2026-06-30,2026-06-30,,5620363570,invoiceNumber,Sin match,False,,Pendiente cartola TC junio completa
2026-06,Google Ads,Almagro Inmobiliaria,Almagro S.A,Genérico,Lyon Bilbao,I-ALM-2211,Nacional | AO S | Por Categoria | Always On,105233,5620363570,2026-06-30,2026-06-30,,5620363570,invoiceNumber,Sin match,False,,Pendiente cartola TC junio completa
2026-06,Google Ads,Almagro Inmobiliaria,Almagro S.A,Inversionista,Lyon Bilbao,I-ALM-2211,Santiago | AO S | Inversionistas 2,51983,5620363570,2026-06-30,2026-06-30,,5620363570,invoiceNumber,Sin match,True,Manual,Pendiente cartola TC junio completa
2026-06,Google Ads,Almagro Inmobiliaria,Almagro S.A,Providencia,Lyon Bilbao,I-ALM-2211,Santiago | AO S | Por Comuna | Providencia,730746,5620363570,2026-06-30,2026-06-30,,5620363570,invoiceNumber,Sin match,False,,Pendiente cartola TC junio completa
2026-06,Google Ads,Almagro Inmobiliaria,Almagro S.A,PPP,Lyon Bilbao,I-ALM-2211,Santiago | AO S | Tudeptoestupie,71169,5620363570,2026-06-30,2026-06-30,,5620363570,invoiceNumber,Sin match,False,,Pendiente cartola TC junio completa
2026-06,Google Ads,Almagro Inmobiliaria,Almagro S.A,Genérico,Parque Brasil,I-ALM-2285,Nacional | AO S | Por Categoria | Always On,105233,5620363570,2026-06-30,2026-06-30,,5620363570,invoiceNumber,Sin match,False,,Pendiente cartola TC junio completa
2026-06,Google Ads,Almagro Inmobiliaria,Almagro S.A,Antofagasta,Parque Brasil,I-ALM-2285,Norte | AO S | Por Comuna | Antofagasta,2179183,5620363570,2026-06-30,2026-06-30,,5620363570,invoiceNumber,Sin match,False,,Pendiente cartola TC junio completa
2026-06,Google Ads,Almagro Inmobiliaria,Almagro S.A,Inversionista,Parque Brasil,I-ALM-2285,Santiago | AO S | Inversionistas 2,51983,5620363570,2026-06-30,2026-06-30,,5620363570,invoiceNumber,Sin match,True,Manual,Pendiente cartola TC junio completa
2026-06,Google Ads,Almagro Inmobiliaria,Almagro S.A,PPP,Parque Brasil,I-ALM-2285,Santiago | AO S | Tudeptoestupie,71169,5620363570,2026-06-30,2026-06-30,,5620363570,invoiceNumber,Sin match,False,,Pendiente cartola TC junio completa
2026-06,Google Ads,Almagro Inmobiliaria,Almagro S.A,Genérico,San Eugenio 2,I-ALM-2227,Nacional | AO S | Por Categoria | Always On,105232,5620363570,2026-06-30,2026-06-30,,5620363570,invoiceNumber,Sin match,False,,Pendiente cartola TC junio completa
2026-06,Google Ads,Almagro Inmobiliaria,Almagro S.A,Inversionista,San Eugenio 2,I-ALM-2227,Santiago | AO S | Inversionistas 2,51983,5620363570,2026-06-30,2026-06-30,,5620363570,invoiceNumber,Sin match,True,Manual,Pendiente cartola TC junio completa
2026-06,Google Ads,Almagro Inmobiliaria,Almagro S.A,Ñuñoa,San Eugenio 2,I-ALM-2227,Santiago | AO S | Por Comuna | Nunoa #2,1464499,5620363570,2026-06-30,2026-06-30,,5620363570,invoiceNumber,Sin match,False,,Pendiente cartola TC junio completa
2026-06,Google Ads,Almagro Inmobiliaria,Almagro S.A,PPP,San Eugenio 2,I-ALM-2227,Santiago | AO S | Tudeptoestupie,71169,5620363570,2026-06-30,2026-06-30,,5620363570,invoiceNumber,Sin match,False,,Pendiente cartola TC junio completa
2026-06,Google Ads,Almagro Inmobiliaria,Almagro S.A,Santiago,San Eugenio 2,I-ALM-2227,Santiago | MR | San Eugenio,546286,5620363570,2026-06-30,2026-06-30,,5620363570,invoiceNumber,Sin match,True,Manual,Pendiente cartola TC junio completa
2026-06,Google Ads,Almagro Inmobiliaria,Almagro S.A,Santiago,San Eugenio 2,I-ALM-2227,Santiago | MR | San Eugenio,7215,5620363570,2026-06-30,2026-06-30,,5620363570,invoiceNumber,Sin match,True,Manual,Pendiente cartola TC junio completa
2026-06,Google Ads,Almagro Inmobiliaria,Almagro S.A,Santiago,Signature,I-ALM-2354,Santiago | Demand Gen | Signature,80941,5620363570,2026-06-30,2026-06-30,,5620363570,invoiceNumber,Sin match,True,Manual,Pendiente cartola TC junio completa
2026-06,Google Ads,Almagro Inmobiliaria,Almagro S.A,Santiago,Signature,I-ALM-2354,Santiago | Demand Gen | Signature,71148,5620363570,2026-06-30,2026-06-30,,5620363570,invoiceNumber,Sin match,True,Manual,Pendiente cartola TC junio completa
2026-06,Google Ads,Almagro Inmobiliaria,Almagro S.A,Santiago,Signature,I-ALM-2354,Santiago | MR | Signature,161606,5620363570,2026-06-30,2026-06-30,,5620363570,invoiceNumber,Sin match,True,Manual,Pendiente cartola TC junio completa
2026-06,Google Ads,Almagro Inmobiliaria,Almagro S.A,Santiago,Signature,I-ALM-2354,Santiago | MR | Signature,1717,5620363570,2026-06-30,2026-06-30,,5620363570,invoiceNumber,Sin match,True,Manual,Pendiente cartola TC junio completa
2026-06,Google Ads,Almagro Inmobiliaria,Almagro S.A,Antofagasta,Valle del Mar,I-ALM-1453,Antofagasta | Demand Gen | ValleDelMar,225290,5620363570,2026-06-30,2026-06-30,,5620363570,invoiceNumber,Sin match,True,Manual,Pendiente cartola TC junio completa
2026-06,Google Ads,Almagro Inmobiliaria,Almagro S.A,Antofagasta,Valle del Mar,I-ALM-1453,Antofagasta | Demand Gen | ValleDelMar,201831,5620363570,2026-06-30,2026-06-30,,5620363570,invoiceNumber,Sin match,True,Manual,Pendiente cartola TC junio completa
2026-06,Google Ads,Almagro Inmobiliaria,Almagro S.A,Antofagasta,Valle del Mar,I-ALM-1453,Antofagasta | MR | ValleDelMar,648679,5620363570,2026-06-30,2026-06-30,,5620363570,invoiceNumber,Sin match,True,Manual,Pendiente cartola TC junio completa
2026-06,Google Ads,Almagro Inmobiliaria,Almagro S.A,Antofagasta,Valle del Mar,I-ALM-1453,Antofagasta | MR | ValleDelMar,10486,5620363570,2026-06-30,2026-06-30,,5620363570,invoiceNumber,Sin match,True,Manual,Pendiente cartola TC junio completa
2026-06,Google Ads,Almagro Inmobiliaria,Almagro SA,Vitacura,Agustín del Castillo,,Santiago | AO S | Por Comuna | Vitacura,478338,5620363570,2026-06-30,2026-06-30,,5620363570,invoiceNumber,Sin match,True,Manual,Pendiente cartola TC junio completa
2026-06,Google Ads,Almagro Inmobiliaria,Arcilla Roja,Genérico,Almagro Hub,I-ALM-2189,Nacional | AO S | Por Categoria | Always On,105233,5620363570,2026-06-30,2026-06-30,,5620363570,invoiceNumber,Sin match,False,,Pendiente cartola TC junio completa
2026-06,Google Ads,Almagro Inmobiliaria,Arcilla Roja,Inversionista,Almagro Hub,I-ALM-2189,Santiago | AO S | Inversionistas 2,51984,5620363570,2026-06-30,2026-06-30,,5620363570,invoiceNumber,Sin match,True,Manual,Pendiente cartola TC junio completa
2026-06,Google Ads,Almagro Inmobiliaria,Arcilla Roja,Providencia,Almagro Hub,I-ALM-2189,Santiago | AO S | Por Comuna | Providencia,730747,5620363570,2026-06-30,2026-06-30,,5620363570,invoiceNumber,Sin match,False,,Pendiente cartola TC junio completa
