Nivel,Referencia solicitada,Mes,Razon social,Plataforma,Marca,Comuna,Proyecto,PEP,Nombre de campana,ID transaccion / N factura,Fecha de pago,N referencia,Codigo descripcion cobro,Desglose Cobro TC,Monto moneda origen,Monto US,Validacion monto,Monto real visible,Monto aperturado,Invoice ID,Invoice date,Reference type,Mapping brand,Matched,Split index,Split count
TOTAL CAMPANA,XLX3TKR6E2,2026-04,ICSA,Meta,Pilares,Independencia,Santos Dumont,I-SVS-2246,FB_AOT_SantosDumont,26715351818152119-26573208419033131,2026-04-08,XLX3TKR6E2,XLX3TKR6E2,56221.0,600000.0,666.36,Coincide,56221.0,,meta-pilares-2026-04,2026-04-30,transactionId,Pilares,True,,1
Apertura,XLX3TKR6E2,2026-04,ICSA,Meta,Pilares,Independencia,Santos Dumont,I-SVS-2246,FB_AOT_SantosDumont,26715351818152119-26573208419033131,2026-04-08,XLX3TKR6E2,XLX3TKR6E2,56221.0,600000.0,666.36,Coincide,,56221.0,meta-pilares-2026-04,2026-04-30,transactionId,Pilares,True,1,1
TOTAL CAMPANA,XLX3TKR6E2,2026-04,ICSA,Meta,Pilares,Estación Central,Conde del Maule,I-SVS-2255,FB_AOT_CondeMauleIII,26715351818152119-26573208419033131,2026-04-08,XLX3TKR6E2,XLX3TKR6E2,52968.0,600000.0,666.36,Coincide,52968.0,,meta-pilares-2026-04,2026-04-30,transactionId,Pilares,True,,1
Apertura,XLX3TKR6E2,2026-04,ICSA,Meta,Pilares,Estación Central,Conde del Maule,I-SVS-2255,FB_AOT_CondeMauleIII,26715351818152119-26573208419033131,2026-04-08,XLX3TKR6E2,XLX3TKR6E2,52968.0,600000.0,666.36,Coincide,,52968.0,meta-pilares-2026-04,2026-04-30,transactionId,Pilares,True,1,1
TOTAL CAMPANA,XLX3TKR6E2,2026-04,Arcilla Roja,Meta,Pilares,Santiago Centro,Franklin,I-ALM-2212,FB_AOT_Franklin,26715351818152119-26573208419033131,2026-04-08,XLX3TKR6E2,XLX3TKR6E2,43566.0,600000.0,666.36,Coincide,43566.0,,meta-pilares-2026-04,2026-04-30,transactionId,Pilares,True,,1
Apertura,XLX3TKR6E2,2026-04,Arcilla Roja,Meta,Pilares,Santiago Centro,Franklin,I-ALM-2212,FB_AOT_Franklin,26715351818152119-26573208419033131,2026-04-08,XLX3TKR6E2,XLX3TKR6E2,43566.0,600000.0,666.36,Coincide,,43566.0,meta-pilares-2026-04,2026-04-30,transactionId,Pilares,True,1,1
TOTAL CAMPANA,XLX3TKR6E2,2026-04,Pilares S.A,Meta,Pilares,Inversionista,Guillermo Mann,I-SVS-2250,FB_Pilares_Inversionistas,26715351818152119-26573208419033131,2026-04-08,XLX3TKR6E2,XLX3TKR6E2,38747.0,600000.0,666.36,Coincide,38747.0,,meta-pilares-2026-04,2026-04-30,transactionId,Pilares,True,,7
Apertura,XLX3TKR6E2,2026-04,ICSA,Meta,Pilares,Inversionista,Conde del Maule,I-SVS-2255,FB_Pilares_Inversionistas,26715351818152119-26573208419033131,2026-04-08,XLX3TKR6E2,XLX3TKR6E2,5536,600000.0,666.36,Coincide,,5536.0,meta-pilares-2026-04,2026-04-30,transactionId,Pilares,True,1,7
Apertura,XLX3TKR6E2,2026-04,Pilares S.A,Meta,Pilares,Inversionista,Edificio Ñuble,I-SVS-2173,FB_Pilares_Inversionistas,26715351818152119-26573208419033131,2026-04-08,XLX3TKR6E2,XLX3TKR6E2,5536,600000.0,666.36,Coincide,,5536.0,meta-pilares-2026-04,2026-04-30,transactionId,Pilares,True,2,7
Apertura,XLX3TKR6E2,2026-04,Pilares S.A,Meta,Pilares,Inversionista,Guillermo Mann,I-SVS-2250,FB_Pilares_Inversionistas,26715351818152119-26573208419033131,2026-04-08,XLX3TKR6E2,XLX3TKR6E2,5535,600000.0,666.36,Coincide,,5535.0,meta-pilares-2026-04,2026-04-30,transactionId,Pilares,True,3,7
